Cluster_label	Cluster	Pairwise_similarities
39	24	0.13;0.087;0.1;0.114;0.1;0.087;0.131;0.067;0.131;0.087;0.067;0.087;0.067;0.131;0.067
57	25	0.1;0.11;0.073;0.204;0.073;0.073
30	26	0.067;0.211;0.067;0.211;0.073;0.089;0.067;0.073;0.211;0.067
177	27	0.078;0.115;0.115;0.096;0.114;0.094;0.073;0.115;0.073;0.073
142	28	0.126;0.126;0.067;0.126;0.126;0.067;0.126;0.249;0.126;0.067
199	29	1.0
4	30	0.13;0.13;0.107;0.13;0.097;0.112
23	31	0.073;0.073;0.073;0.069;0.078;0.078;0.098;0.087;0.069;0.069
51	32	0.073
67	33	0.126;0.126;0.126
1	34	0.104;0.097;0.179
9	35	0.114;0.285;0.078;0.121;0.067;0.078
22	36	0.136
24	37	0.073;0.089;0.065;0.073;0.182;0.065
81	38	0.044;0.071;0.178;0.044;0.044;0.071
83	39	0.077;0.077;0.077;0.178;0.168;0.143
86	40	0.17;0.17;0.193;0.17;0.193;0.193
95	41	0.073;0.098;0.126;0.073;0.067;0.073;0.067;0.097;0.073;0.067
111	42	0.081;0.078;0.262
208	43	0.073
240	44	1.0
3	45	0.073;0.071;0.073;0.071;0.073;0.071
19	46	0.073;0.071;0.071
50	47	0.227;0.227;0.419;0.227;0.065;0.067
61	48	1.0
75	49	1.0
77	50	0.147;0.138;0.143
85	51	0.117;0.121;0.107;0.074;0.12;0.071
102	52	1.0
120	53	0.121;0.08;0.077
132	54	0.043;0.043;0.044;0.211;0.231;0.231
148	55	0.115;0.073;0.077
157	56	1.0
216	57	0.087;0.073;0.073
248	58	0.07
286	59	1.0
25	60	0.073;0.112;0.073
33	61	1.0
38	62	0.078
44	63	0.0
70	64	0.073
99	65	1.0
114	66	0.073
130	67	1.0
140	68	0.126;0.073;0.073
141	69	0.097
145	70	0.098
149	71	1.0
150	72	0.076
164	73	0.087
172	74	0.065;0.065;0.065
187	75	0.126;0.126;0.126
198	76	0.112;0.419;0.112
225	77	0.073;0.065;0.067
238	78	0.073
302	79	1.0
323	80	0.067;0.111;0.073
11	81	0.419
21	82	0.112
29	83	0.0
32	84	0.136
49	85	0.0
54	86	0.224
69	87	0.073
71	88	0.126
88	89	0.178
94	90	0.125
96	91	0.193
108	92	1.0
121	93	0.094
124	94	0.114
127	95	0.071
128	96	0.073
129	97	1.0
131	98	0.0
136	99	1.0
137	100	0.087
144	101	1.0
153	102	0.313
162	103	0.044
169	104	0.071
171	105	1.0
175	106	0.0
196	107	0.143
197	108	0.149
204	109	1.0
212	110	0.136
215	111	1.0
218	112	1.0
219	113	0.073
221	114	0.073
223	115	0.073
233	116	0.078
235	117	0.161
250	118	0.044
252	119	1.0
276	120	0.0
282	121	1.0
297	122	1.0
301	123	0.17
304	124	1.0
316	125	1.0
320	126	0.138
338	127	0.0
342	128	1.0
344	129	0.126
346	130	0.0
366	131	0.073
367	132	1.0
369	133	1.0
370	134	0.0
372	135	0.142
379	136	0.0
392	137	0.067
419	138	0.043
