Cluster	No_of_drugs	No_of_drugs_with_mcs	No_of_similarity_values	Min_similarity	Max_similarity	Mean_similarity	Median_similarity
83	3	3	3	0.428571428571429	0.5	0.476190476190476	0.5
84	3	3	3	0.214285714285714	0.45	0.371428571428571	0.45
85	3	2	1	0.25	0.25	0.25	0.25
86	2	2	1	0.478260869565217	0.478260869565217	0.478260869565217	0.478260869565217
87	2	2	1	0.611111111111111	0.611111111111111	0.611111111111111	0.611111111111111
88	2	2	1	0.352941176470588	0.352941176470588	0.352941176470588	0.352941176470588
89	2	2	1	0.266666666666667	0.266666666666667	0.266666666666667	0.266666666666667
90	2	2	1	0.380952380952381	0.380952380952381	0.380952380952381	0.380952380952381
91	2	2	1	0.909090909090909	0.909090909090909	0.909090909090909	0.909090909090909
92	2	2	1	0.2	0.2	0.2	0.2
93	2	2	1	0.352941176470588	0.352941176470588	0.352941176470588	0.352941176470588
94	2	2	1	0.357142857142857	0.357142857142857	0.357142857142857	0.357142857142857
95	2	2	1	0.666666666666667	0.666666666666667	0.666666666666667	0.666666666666667
96	2	2	1	0.538461538461538	0.538461538461538	0.538461538461538	0.538461538461538
97	2	2	1	0.307692307692308	0.307692307692308	0.307692307692308	0.307692307692308
98	2	2	1	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333
99	2	2	1	0.625	0.625	0.625	0.625
100	2	2	1	0.692307692307692	0.692307692307692	0.692307692307692	0.692307692307692
101	2	2	1	1	1	1	1
102	2	1	1	1	1	1	1
103	2	2	1	0.25	0.25	0.25	0.25
104	2	2	1	0.5	0.5	0.5	0.5
105	2	2	1	0.428571428571429	0.428571428571429	0.428571428571429	0.428571428571429
106	2	2	1	0.941176470588235	0.941176470588235	0.941176470588235	0.941176470588235
107	2	2	1	0.65	0.65	0.65	0.65
108	2	1	1	1	1	1	1
109	2	1	1	1	1	1	1
110	2	2	1	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333
111	2	2	1	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333
112	2	2	1	0.421052631578947	0.421052631578947	0.421052631578947	0.421052631578947
113	2	2	1	0.25	0.25	0.25	0.25
114	2	2	1	0.631578947368421	0.631578947368421	0.631578947368421	0.631578947368421
115	2	2	1	0.3	0.3	0.3	0.3
116	2	2	1	0.5	0.5	0.5	0.5
117	2	2	1	0.227272727272727	0.227272727272727	0.227272727272727	0.227272727272727
118	2	2	1	0.388888888888889	0.388888888888889	0.388888888888889	0.388888888888889
119	2	2	1	0.571428571428571	0.571428571428571	0.571428571428571	0.571428571428571
120	2	2	1	0.375	0.375	0.375	0.375
121	2	2	1	0.5	0.5	0.5	0.5
122	2	2	1	0.625	0.625	0.625	0.625
123	2	2	1	0.818181818181818	0.818181818181818	0.818181818181818	0.818181818181818
124	2	2	1	0.818181818181818	0.818181818181818	0.818181818181818	0.818181818181818
125	2	2	1	0	0	0	0
126	2	2	1	0.5	0.5	0.5	0.5
127	2	2	1	0.611111111111111	0.611111111111111	0.611111111111111	0.611111111111111
128	2	2	1	0.294117647058824	0.294117647058824	0.294117647058824	0.294117647058824
129	2	2	1	0.230769230769231	0.230769230769231	0.230769230769231	0.230769230769231
130	2	2	1	0.384615384615385	0.384615384615385	0.384615384615385	0.384615384615385
131	2	2	1	0.25	0.25	0.25	0.25
132	2	2	1	0.578947368421053	0.578947368421053	0.578947368421053	0.578947368421053
133	2	2	1	0.4	0.4	0.4	0.4
134	2	2	1	1	1	1	1
135	2	2	1	0.555555555555556	0.555555555555556	0.555555555555556	0.555555555555556
136	2	2	1	0.388888888888889	0.388888888888889	0.388888888888889	0.388888888888889
137	2	2	1	0.333333333333333	0.333333333333333	0.333333333333333	0.333333333333333
138	2	2	1	0.375	0.375	0.375	0.375
139	2	2	1	0.544554455445545	0.544554455445545	0.544554455445545	0.544554455445545
