Distance	Density
0.3772	0.0206
0.3803	0.0206
0.3834	0.0206
0.3865	0.0206
0.3896	0.0206
0.3927	0.0206
0.3958	0.0206
0.3989	0.0206
0.402	0.0206
0.4051	0.0206
0.4082	0.0206
0.4113	0.0206
0.4143	0.0206
0.4174	0.0206
0.4205	0.0206
0.4236	0.0206
0.4267	0.0206
0.4298	0.0206
0.4329	0.0206
0.436	0.0207
0.4391	0.0207
0.4422	0.0207
0.4453	0.0207
0.4484	0.0207
0.4514	0.0208
0.4545	0.0208
0.4576	0.0208
0.4607	0.0209
0.4638	0.0209
0.4669	0.0209
0.47	0.021
0.4731	0.021
0.4762	0.021
0.4793	0.0211
0.4824	0.0211
0.4855	0.0212
0.4886	0.0212
0.4916	0.0213
0.4947	0.0213
0.4978	0.0214
0.5009	0.0214
0.504	0.0215
0.5071	0.0216
0.5102	0.0216
0.5133	0.0217
0.5164	0.0218
0.5195	0.0218
0.5226	0.0219
0.5257	0.022
0.5288	0.022
0.5318	0.0221
0.5349	0.0222
0.538	0.0223
0.5411	0.0224
0.5442	0.0224
0.5473	0.0225
0.5504	0.0226
0.5535	0.0227
0.5566	0.0228
0.5597	0.0229
0.5628	0.023
0.5659	0.0231
0.5689	0.0232
0.572	0.0233
0.5751	0.0234
0.5782	0.0235
0.5813	0.0236
0.5844	0.0237
0.5875	0.0238
0.5906	0.0239
0.5937	0.024
0.5968	0.0241
0.5999	0.0242
0.603	0.0243
0.6061	0.0245
0.6091	0.0246
0.6122	0.0247
0.6153	0.0248
0.6184	0.0249
0.6215	0.0251
0.6246	0.0252
0.6277	0.0253
0.6308	0.0255
0.6339	0.0256
0.637	0.0257
0.6401	0.0259
0.6432	0.026
0.6463	0.0261
0.6493	0.0263
0.6524	0.0264
0.6555	0.0266
0.6586	0.0267
0.6617	0.0269
0.6648	0.027
0.6679	0.0272
0.671	0.0273
0.6741	0.0275
0.6772	0.0276
0.6803	0.0278
0.6834	0.0279
0.6864	0.0281
0.6895	0.0283
0.6926	0.0284
0.6957	0.0286
0.6988	0.0287
0.7019	0.0289
0.705	0.0291
0.7081	0.0293
0.7112	0.0294
0.7143	0.0296
0.7174	0.0298
0.7205	0.0299
0.7236	0.0301
0.7266	0.0303
0.7297	0.0305
0.7328	0.0307
0.7359	0.0308
0.739	0.031
0.7421	0.0312
0.7452	0.0314
0.7483	0.0316
0.7514	0.0318
0.7545	0.032
0.7576	0.0322
0.7607	0.0324
0.7638	0.0326
0.7668	0.0328
0.7699	0.033
0.773	0.0332
0.7761	0.0334
0.7792	0.0336
0.7823	0.0338
0.7854	0.034
0.7885	0.0342
0.7916	0.0344
0.7947	0.0346
0.7978	0.0348
0.8009	0.0351
0.8039	0.0353
0.807	0.0355
0.8101	0.0357
0.8132	0.0359
0.8163	0.0362
0.8194	0.0364
0.8225	0.0366
0.8256	0.0368
0.8287	0.0371
0.8318	0.0373
0.8349	0.0375
0.838	0.0378
0.8411	0.038
0.8441	0.0383
0.8472	0.0385
0.8503	0.0387
0.8534	0.039
0.8565	0.0392
0.8596	0.0395
0.8627	0.0397
0.8658	0.04
0.8689	0.0402
0.872	0.0405
0.8751	0.0407
0.8782	0.041
0.8813	0.0413
0.8843	0.0415
0.8874	0.0418
0.8905	0.042
0.8936	0.0423
0.8967	0.0426
0.8998	0.0429
0.9029	0.0431
0.906	0.0434
0.9091	0.0437
0.9122	0.044
0.9153	0.0442
0.9184	0.0445
0.9214	0.0448
0.9245	0.0451
0.9276	0.0454
0.9307	0.0457
0.9338	0.046
0.9369	0.0463
0.94	0.0466
0.9431	0.0469
0.9462	0.0472
0.9493	0.0475
0.9524	0.0478
0.9555	0.0481
0.9586	0.0484
0.9616	0.0487
0.9647	0.049
0.9678	0.0493
0.9709	0.0496
0.974	0.05
0.9771	0.0503
0.9802	0.0506
0.9833	0.0509
0.9864	0.0512
0.9895	0.0516
0.9926	0.0519
0.9957	0.0522
0.9988	0.0526
1.0018	0.0529
