Distance	Confidence
1.9109	0.8479
1.914	0.8472
1.9171	0.8465
1.9202	0.8459
1.9233	0.8452
1.9264	0.8445
1.9295	0.8438
1.9326	0.8431
1.9357	0.8425
1.9388	0.8418
1.9418	0.8411
1.9449	0.8404
1.948	0.8397
1.9511	0.839
1.9542	0.8383
1.9573	0.8376
1.9604	0.8369
1.9635	0.8362
1.9666	0.8355
1.9697	0.8348
1.9728	0.8341
1.9759	0.8334
1.979	0.8327
1.982	0.832
1.9851	0.8312
1.9882	0.8305
1.9913	0.8298
1.9944	0.8291
1.9975	0.8284
2.0006	0.8276
2.0037	0.8269
2.0068	0.8262
2.0099	0.8254
2.013	0.8247
2.0161	0.824
2.0191	0.8233
2.0222	0.8225
2.0253	0.8218
2.0284	0.821
2.0315	0.8203
2.0346	0.8196
2.0377	0.8188
2.0408	0.8181
2.0439	0.8173
2.047	0.8165
2.0501	0.8158
2.0532	0.815
2.0563	0.8143
2.0593	0.8135
2.0624	0.8128
2.0655	0.812
2.0686	0.8113
2.0717	0.8105
2.0748	0.8097
2.0779	0.809
2.081	0.8082
2.0841	0.8074
2.0872	0.8066
2.0903	0.8059
2.0934	0.8051
2.0965	0.8043
2.0995	0.8036
2.1026	0.8028
2.1057	0.802
2.1088	0.8012
2.1119	0.8004
2.115	0.7996
2.1181	0.7988
2.1212	0.7981
2.1243	0.7973
2.1274	0.7965
2.1305	0.7957
2.1336	0.7949
2.1366	0.7941
2.1397	0.7933
2.1428	0.7925
2.1459	0.7917
2.149	0.7909
2.1521	0.7901
2.1552	0.7893
2.1583	0.7885
2.1614	0.7877
2.1645	0.7869
2.1676	0.7861
2.1707	0.7853
2.1738	0.7844
2.1768	0.7837
2.1799	0.7828
2.183	0.782
2.1861	0.7812
2.1892	0.7804
2.1923	0.7796
2.1954	0.7788
2.1985	0.7779
2.2016	0.7771
2.2047	0.7763
2.2078	0.7755
2.2109	0.7746
2.214	0.7738
2.217	0.773
2.2201	0.7722
2.2232	0.7713
2.2263	0.7705
2.2294	0.7697
2.2325	0.7689
2.2356	0.768
2.2387	0.7672
2.2418	0.7663
2.2449	0.7655
2.248	0.7647
2.2511	0.7638
2.2541	0.763
2.2572	0.7622
2.2603	0.7613
2.2634	0.7605
2.2665	0.7597
2.2696	0.7588
2.2727	0.758
2.2758	0.7571
2.2789	0.7563
2.282	0.7554
2.2851	0.7546
2.2882	0.7537
2.2913	0.7529
2.2943	0.752
2.2974	0.7512
2.3005	0.7503
2.3036	0.7495
2.3067	0.7486
2.3098	0.7478
2.3129	0.7469
2.316	0.7461
2.3191	0.7452
2.3222	0.7444
2.3253	0.7435
2.3284	0.7426
2.3315	0.7418
2.3345	0.7409
2.3376	0.7401
2.3407	0.7392
2.3438	0.7384
2.3469	0.7375
2.35	0.7366
2.3531	0.7358
2.3562	0.7349
2.3593	0.734
2.3624	0.7332
2.3655	0.7323
2.3686	0.7314
2.3716	0.7306
2.3747	0.7297
2.3778	0.7289
2.3809	0.728
2.384	0.7271
2.3871	0.7262
2.3902	0.7254
2.3933	0.7245
2.3964	0.7236
2.3995	0.7228
2.4026	0.7219
2.4057	0.721
2.4088	0.7201
2.4118	0.7193
2.4149	0.7184
2.418	0.7175
2.4211	0.7167
2.4242	0.7158
2.4273	0.7149
2.4304	0.714
2.4335	0.7131
2.4366	0.7123
2.4397	0.7114
2.4428	0.7105
2.4459	0.7096
2.449	0.7087
2.452	0.7079
2.4551	0.707
2.4582	0.7061
2.4613	0.7052
2.4644	0.7044
2.4675	0.7035
2.4706	0.7026
2.4737	0.7017
2.4768	0.7008
2.4799	0.6999
2.483	0.6991
2.4861	0.6982
2.4892	0.6973
2.4922	0.6964
2.4953	0.6955
2.4984	0.6946
2.5015	0.6938
2.5046	0.6929
2.5077	0.692
2.5108	0.6911
2.5139	0.6902
2.517	0.6893
2.5201	0.6884
2.5232	0.6875
2.5263	0.6866
2.5293	0.6858
2.5324	0.6849
2.5355	0.684
2.5386	0.6831
2.5417	0.6822
2.5448	0.6813
2.5479	0.6804
2.551	0.6795
2.5541	0.6786
2.5572	0.6777
2.5603	0.6768
2.5634	0.676
2.5665	0.6751
2.5695	0.6742
2.5726	0.6733
2.5757	0.6724
2.5788	0.6715
2.5819	0.6706
2.585	0.6697
2.5881	0.6688
2.5912	0.6679
2.5943	0.667
2.5974	0.6661
2.6005	0.6652
2.6036	0.6643
2.6067	0.6634
2.6097	0.6625
2.6128	0.6616
2.6159	0.6607
2.619	0.6598
2.6221	0.6589
2.6252	0.658
2.6283	0.6571
2.6314	0.6562
2.6345	0.6553
2.6376	0.6544
2.6407	0.6535
2.6438	0.6526
