Cluster	No_of_drugs	No_of_genes	No_of_similarity_values	Min_similarity	Max_similarity	Mean_similarity	Median_similarity
44	4	23	253	0	0.972	0.259162055335968	0.253
45	4	16	120	0	1	0.246266666666667	0.246
46	4	95	4465	0	1	0.313651287793953	0.309
47	4	3	3	0.37	0.461	0.430333333333333	0.46
48	4	47	1081	0	1	0.413547641073081	0.38
49	4	15	105	0.196	0.992	0.426838095238095	0.383
50	4	20	190	0	1	0.425836842105263	0.409
51	4	14	78	0.013	0.942	0.314717948717949	0.2935
52	4	77	2926	0	1	0.354824675324675	0.345
53	4	42	820	0	1	0.395725609756098	0.357
54	4	10	45	0.045	0.771	0.299511111111111	0.266
55	4	10	45	0	0.76	0.3604	0.369
56	4	7	21	0.243	0.898	0.399761904761905	0.379
57	4	84	3486	0	1	0.36875157773953	0.356
58	4	6	15	0.141	0.693	0.378733333333333	0.398
59	3	4	6	0	0.639	0.286666666666667	0.2605
60	3	34	528	0	0.925	0.339943181818182	0.344
61	3	0	1	0	0	0	0
62	3	55	1485	0	0.942	0.387539393939394	0.371
63	3	0	1	0	0	0	0
64	3	98	4656	0	1	0.339207474226804	0.31
65	3	35	595	0	1	0.370702521008403	0.369
66	3	8	28	0.08	0.766	0.352142857142857	0.308
67	3	59	1711	0	1	0.377884278199883	0.342
68	3	7	21	0	0.897	0.237428571428571	0.233
69	3	29	378	0	1	0.252917989417989	0.2485
70	3	1	1	1	1	1	1
71	3	20	171	0.031	0.863	0.302251461988304	0.273
72	3	10	45	0	0.67	0.420622222222222	0.44
73	3	172	14365	0	1	0.394359624086321	0.358
74	3	11	55	0	1	0.363036363636364	0.344
75	3	157	12090	0	1	0.379085194375517	0.358
76	3	11	55	0	0.94	0.354090909090909	0.209
77	3	6	15	0.218	0.766	0.393066666666667	0.309
78	3	22	231	0	0.919	0.314402597402597	0.255
79	3	11	55	0	0.909	0.297127272727273	0.26
80	3	110	5995	0	1	0.426798331943286	0.399
81	3	12	66	0	0.788	0.257636363636364	0.2485
82	3	27	325	0	1	0.287116923076923	0.243
83	3	45	946	0	0.942	0.324860465116279	0.321
84	3	8	28	0	0.741	0.253607142857143	0.264
85	3	96	4278	0	1	0.388356708742403	0.354
86	2	323	50403	0	1	0.38940749558558	0.366
87	2	88	3828	0	1	0.368323667711599	0.355
88	2	1	1	1	1	1	1
89	2	44	903	0	1	0.348703211517165	0.346
90	2	10	45	0	0.868	0.330088888888889	0.211
91	2	59	1596	0.182	0.958	0.414847744360902	0.38
92	2	127	7875	0	1	0.356832	0.35
93	2	18	153	0.037	0.942	0.430196078431373	0.388
94	2	3	3	0.407	0.706	0.540666666666667	0.509
95	2	25	300	0	0.818	0.31683	0.324
96	2	5	10	0	0.766	0.3209	0.218
97	2	18	153	0	0.91	0.325352941176471	0.304
98	2	113	6328	0	1	0.333094342604298	0.298
99	2	20	171	0.111	0.864	0.389754385964912	0.365
100	2	85	3486	0	1	0.375088353413655	0.371
101	2	61	1830	0	1	0.37287868852459	0.373
102	2	63	1953	0	1	0.425356886840758	0.377
103	2	2	1	0.706	0.706	0.706	0.706
104	2	74	2628	0	1	0.407117579908676	0.364
105	2	4	6	0	0.587	0.280333333333333	0.345
106	2	7	21	0.009	0.94	0.323952380952381	0.22
107	2	34	561	0	0.929	0.29973440285205	0.277
108	2	220	23436	0	1	0.41696044546851	0.369
109	2	33	528	0	0.942	0.414420454545455	0.3995
110	2	11	55	0	0.909	0.306654545454545	0.304
111	2	155	11628	0.049	1	0.423108531131751	0.386
112	2	100	4950	0	1	0.32232101010101	0.309
113	2	2	1	0.182	0.182	0.182	0.182
114	2	29	406	0	1	0.294253694581281	0.2855
115	2	119	6786	0	1	0.345023725316829	0.333
116	2	1	1	1	1	1	1
117	2	49	1176	0	1	0.336448129251701	0.335
118	2	758	267546	0	1	0.430120921262138	0.382
119	2	18	136	0	1	0.345286764705882	0.3325
120	2	85	3570	0	1	0.318234733893557	0.289
121	2	4	6	0.323	0.882	0.587833333333333	0.574
122	2	19	171	0.041	0.956	0.365625730994152	0.338
123	2	15	105	0	0.977	0.396152380952381	0.365
124	2	24	276	0	0.929	0.275014492753623	0.2495
125	2	3	3	0.403	0.797	0.567	0.501
126	2	16	120	0.148	0.827	0.40445	0.368
127	2	49	1176	0	1	0.287073129251701	0.2845
128	2	4	6	0.141	0.859	0.377833333333333	0.204
129	2	34	561	0.145	0.872	0.39650623885918	0.366
130	2	44	861	0	1	0.384836236933798	0.342
131	2	13	78	0.121	0.777	0.374628205128205	0.3355
132	2	9	36	0.117	0.942	0.426555555555556	0.415
133	2	205	19900	0	1	0.347550351758794	0.314
134	2	24	276	0.215	1	0.476188405797101	0.417
135	2	74	2701	0	1	0.380051462421325	0.361
136	2	21	210	0	0.929	0.336909523809524	0.261
137	2	11	55	0.072	1	0.328054545454545	0.266
138	2	226	23871	0	1	0.379013991872984	0.356
139	2	4	6	0.207	0.408	0.288666666666667	0.284
