GeneID	GeneSymbol	# drug associations
10513	APPBP2	1
26060	APPL1	5
55198	APPL2	2
353	APRT	4
54840	APTX	1
358	AQP1	7
89872	AQP10	1
359	AQP2	1
360	AQP3	5
362	AQP5	4
366	AQP9	3
9716	AQR	2
367	AR	100
369	ARAF	8
116985	ARAP1	3
372	ARCN1	6
374	AREG	9
375	ARF1	4
377	ARF3	3
378	ARF4	1
381	ARF5	1
382	ARF6	5
55738	ARFGAP1	6
84364	ARFGAP2	4
26286	ARFGAP3	5
10565	ARFGEF1	3
10564	ARFGEF2	6
57221	ARFGEF3	1
27236	ARFIP1	4
23647	ARFIP2	1
383	ARG1	1
384	ARG2	3
55082	ARGLU1	2
392	ARHGAP1	6
9824	ARHGAP11A	1
94134	ARHGAP12	3
55114	ARHGAP17	2
93663	ARHGAP18	5
84986	ARHGAP19	1
57584	ARHGAP21	3
57636	ARHGAP23	1
23092	ARHGAP26	2
9411	ARHGAP29	3
9743	ARHGAP32	2
2909	ARHGAP35	4
80728	ARHGAP39	1
393	ARHGAP4	2
23526	ARHGAP45	2
394	ARHGAP5	2
396	ARHGDIA	7
397	ARHGDIB	3
9138	ARHGEF1	2
9639	ARHGEF10	1
55160	ARHGEF10L	1
9826	ARHGEF11	3
23365	ARHGEF12	3
27237	ARHGEF16	5
9828	ARHGEF17	2
23370	ARHGEF18	2
9181	ARHGEF2	4
26084	ARHGEF26	2
64283	ARHGEF28	2
728377	ARHGEF34P	1
445328	ARHGEF35	1
55701	ARHGEF40	1
7984	ARHGEF5	2
9459	ARHGEF6	3
8874	ARHGEF7	1
8289	ARID1A	5
57492	ARID1B	2
196528	ARID2	3
1820	ARID3A	2
10620	ARID3B	1
5926	ARID4A	2
51742	ARID4B	3
10865	ARID5A	2
84159	ARID5B	2
25820	ARIH1	2
147339	ARK2N	3
400	ARL1	3
200894	ARL13B	1
402	ARL2	1
23568	ARL2BP	1
403	ARL3	1
379	ARL4D	2
23204	ARL6IP1	1
51329	ARL6IP4	3
10550	ARL6IP5	12
151188	ARL6IP6	2
127829	ARL8A	1
55207	ARL8B	4
55156	ARMC1	4
83787	ARMC10	2
25852	ARMC8	2
80210	ARMC9	1
9823	ARMCX2	1
51566	ARMCX3	5
79624	ARMT1	1
405	ARNT	29
9915	ARNT2	1
42173	ARP5	1
10552	ARPC1A	2
10095	ARPC1B	3
10109	ARPC2	2
10094	ARPC3	4
10093	ARPC4	1
100526693	ARPC4-TTLL3	2
10092	ARPC5	4
81873	ARPC5L	2
100526783	ARPIN-AP3S2	1
10776	ARPP19	1
408	ARRB1	10
409	ARRB2	14
92714	ARRDC1	1
410	ARSA	1
411	ARSB	1
415	ARSL	2
9048	ARTN	2
421	ARVCF	1
170302	ARX	1
57412	AS3MT	8
427	ASAH1	6
50807	ASAP1	2
8853	ASAP2	1
55616	ASAP3	1
140456	ASB11	1
140462	ASB9	2
51008	ASCC1	1
84164	ASCC2	3
10973	ASCC3	3
429	ASCL1	1
25842	ASF1A	2
55723	ASF1B	2
433	ASGR2	1
55870	ASH1L	1
9070	ASH2L	2
435	ASL	4
8623	ASMTL	3
440	ASNS	5
443	ASPA	1
554235	ASPDH	1
444	ASPH	4
259266	ASPM	1
79058	ASPSCR1	2
80150	ASRGL1	2
445	ASS1	2
460	ASTN1	1
171023	ASXL1	2
55252	ASXL2	1
84896	ATAD1	3
29028	ATAD2	4
54454	ATAD2B	2
55210	ATAD3A	4
83858	ATAD3B	2
79915	ATAD5	1
11101	ATE1	3
466	ATF1	10
1386	ATF2	16
467	ATF3	16
468	ATF4	36
22809	ATF5	2
22926	ATF6	23
1388	ATF6B	3
11016	ATF7	2
55729	ATF7IP	2
9140	ATG12	10
9776	ATG13	1
22863	ATG14	3
55054	ATG16L1	4
23130	ATG2A	1
55102	ATG2B	2
64422	ATG3	7
115201	ATG4A	1
23192	ATG4B	2
9474	ATG5	24
10533	ATG7	21
79065	ATG9A	4
471	ATIC	3
51062	ATL1	1
64225	ATL2	4
25923	ATL3	2
