threshold	branching_factor	n_clusters	Silhouette_score	Davies-Bouldin_score	Calinski-Harabasz_score
0.1	11	300	0.556	0.403	123.803
0.1	11	320	0.561	0.357	144.82
0.1	11	340	0.566	0.319	174.128
0.1	11	360	0.573	0.289	222.115
0.1	11	380	0.581	0.25	294.104
0.1	11	400	0.588	0.225	406.368
0.1	11	420	0.593	0.203	553.378
0.1	11	440	0.599	0.194	709.789
0.1	11	460	0.603	0.204	818.028
0.1	11	480	0.603	0.204	818.028
0.1	11	500	0.603	0.204	818.028
0.1	11	520	0.603	0.204	818.028
0.1	11	540	0.603	0.204	818.028
0.1	11	560	0.603	0.204	818.028
0.1	11	580	0.603	0.204	818.028
0.1	11	600	0.603	0.204	818.028
0.1	12	20	0.301	1.533	99.485
0.1	12	40	0.376	1.31	83.24
0.1	12	60	0.434	1.195	78.197
0.1	12	80	0.459	1.127	74.603
0.1	12	100	0.485	1.047	72.755
0.1	12	120	0.5	0.963	72.106
0.1	12	140	0.515	0.875	72.313
0.1	12	160	0.524	0.808	73.534
0.1	12	180	0.533	0.73	76.244
0.1	12	200	0.538	0.671	79.445
0.1	12	220	0.544	0.614	85.349
0.1	12	240	0.546	0.56	91.049
0.1	12	260	0.547	0.51	99.537
0.1	12	280	0.551	0.456	110.38
0.1	12	300	0.555	0.4	124.476
0.1	12	320	0.559	0.353	144.533
0.1	12	340	0.563	0.316	171.294
0.1	12	360	0.569	0.285	214.62
0.1	12	380	0.58	0.244	294.988
0.1	12	400	0.588	0.214	407.164
0.1	12	420	0.593	0.183	543.711
0.1	12	440	0.599	0.183	680.838
0.1	12	460	0.601	0.192	723.361
0.1	12	480	0.601	0.192	723.361
0.1	12	500	0.601	0.192	723.361
0.1	12	520	0.601	0.192	723.361
0.1	12	540	0.601	0.192	723.361
0.1	12	560	0.601	0.192	723.361
0.1	12	580	0.601	0.192	723.361
0.1	12	600	0.601	0.192	723.361
0.1	13	20	0.308	1.511	100.402
0.1	13	40	0.373	1.318	81.974
0.1	13	60	0.432	1.194	78.122
0.1	13	80	0.457	1.141	74.331
0.1	13	100	0.476	1.054	71.999
0.1	13	120	0.502	0.96	72.337
0.1	13	140	0.517	0.869	72.643
0.1	13	160	0.527	0.803	73.941
0.1	13	180	0.534	0.725	76.151
0.1	13	200	0.54	0.671	80.133
0.1	13	220	0.542	0.612	84.307
0.1	13	240	0.547	0.56	90.907
0.1	13	260	0.549	0.508	99.074
0.1	13	280	0.549	0.452	109.642
0.1	13	300	0.551	0.399	122.774
0.1	13	320	0.555	0.353	142.776
0.1	13	340	0.558	0.315	168.596
0.1	13	360	0.565	0.286	210.277
0.1	13	380	0.578	0.245	289.072
0.1	13	400	0.588	0.222	413.711
0.1	13	420	0.595	0.198	566.286
0.1	13	440	0.598	0.189	713.584
0.1	13	460	0.6	0.207	766.162
0.1	13	480	0.6	0.207	766.162
0.1	13	500	0.6	0.207	766.162
0.1	13	520	0.6	0.207	766.162
0.1	13	540	0.6	0.207	766.162
0.1	13	560	0.6	0.207	766.162
0.1	13	580	0.6	0.207	766.162
0.1	13	600	0.6	0.207	766.162
0.1	14	20	0.313	1.499	100.241
0.1	14	40	0.376	1.319	83.289
0.1	14	60	0.432	1.195	77.901
0.1	14	80	0.457	1.134	74.079
0.1	14	100	0.481	1.044	72.266
0.1	14	120	0.496	0.961	71.032
0.1	14	140	0.516	0.878	72.345
0.1	14	160	0.524	0.804	73.212
