Cluster	No_of_drugs	No_of_genes	No_of_similarity_values	Min_similarity	Max_similarity	Mean_similarity	Median_similarity
87	2	20	171	0	0.927	0.434707602339181	0.417
88	2	10	45	0.152	0.878	0.428666666666667	0.385
89	2	18	153	0.125	0.97	0.484908496732026	0.446
90	2	11	45	0.053	0.95	0.433222222222222	0.485
91	2	3	3	0.55	0.78	0.641	0.593
92	2	5	10	0.176	0.805	0.4808	0.4225
93	2	85	3486	0	1	0.520386689615605	0.535
94	2	61	1830	0	1	0.556330601092896	0.579
95	2	63	1953	0	1	0.595116231438812	0.583
96	2	2	1	0.78	0.78	0.78	0.78
97	2	16	120	0.011	0.75	0.411366666666667	0.448
98	2	74	2628	0	1	0.570314307458143	0.565
99	2	705	232221	0	1	0.569514707972147	0.567
100	2	4	6	0.166	0.661	0.393833333333333	0.401
101	2	20	171	0.043	0.904	0.475298245614035	0.479
102	2	7	21	0.089	0.948	0.379285714285714	0.364
103	2	34	561	0.006	0.963	0.453980392156863	0.464
104	2	220	23436	0	1	0.579320447175286	0.566
105	2	33	528	0.284	0.97	0.592844696969697	0.592
106	2	11	55	0.045	0.901	0.4606	0.484
107	2	100	4950	0	1	0.466279595959596	0.487
108	2	30	435	0.112	1	0.566402298850575	0.584
109	2	2	1	0.428	0.428	0.428	0.428
110	2	11	45	0.135	0.963	0.445466666666667	0.4
111	2	1	1	1	1	1	1
112	2	49	1176	0.012	1	0.506243197278912	0.528
113	2	758	267546	0	1	0.590371876238105	0.583
114	2	0	1	0	0	0	0
115	2	18	136	0	1	0.428352941176471	0.4325
116	2	85	3570	0	1	0.466747338935574	0.4825
117	2	107	5671	0	1	0.49872103685417	0.503
118	2	25	300	0	1	0.422913333333333	0.421
119	2	4	6	0.131	0.895	0.502166666666667	0.4835
120	2	56	1431	0.09	1	0.572463312368973	0.577
121	2	15	105	0.192	0.969	0.527580952380952	0.488
122	2	88	3741	0	1	0.465908580593424	0.486
123	2	24	276	0.025	0.963	0.42581884057971	0.4195
124	2	6	15	0.362	0.8	0.553333333333333	0.509
125	2	3	3	0.557	0.85	0.680333333333333	0.634
126	2	49	1176	0	1	0.38393112244898	0.3935
127	2	4	6	0.355	0.819	0.523	0.4135
128	2	34	561	0.301	0.913	0.589336898395722	0.583
129	2	9	36	0.338	0.787	0.524944444444444	0.513
130	2	44	861	0	1	0.497606271777004	0.518
131	2	13	78	0.292	0.844	0.545794871794872	0.555
132	2	9	36	0.213	0.97	0.550444444444444	0.549
133	2	205	19900	0	1	0.479301658291457	0.514
134	2	24	276	0.378	1	0.618152173913043	0.5855
135	2	74	2701	0	1	0.548373195112921	0.573
136	2	21	210	0.059	0.963	0.486795238095238	0.462
137	2	42	820	0.011	0.97	0.503390243902439	0.548
138	2	11	55	0.083	1	0.485036363636364	0.511
